Campaign,Venue,Week Ending Date,Pay Period,Position Type,Position's Base Hourly Pay Rate
Campaign A,Door,1/16/2026,1/16/2026,Canvasser,$24.00
Campaign A,Door,1/23/2026,1/30/2026,Canvasser,$24.00
Campaign A,Door,1/30/2026,1/30/2026,Canvasser,$24.00
Campaign A,Door,2/6/2026,2/13/2026,Canvasser,$25.00
Campaign A,Door,2/13/2026,2/13/2026,Canvasser,$25.00
Campaign A,Door,2/20/2026,2/27/2026,Canvasser,$25.00
Campaign A,Door,2/27/2026,2/27/2026,Canvasser,$25.00
Campaign A,Door,1/16/2026,1/16/2026,Team Lead,$26.00
Campaign A,Door,1/23/2026,1/30/2026,Team Lead,$26.00
Campaign A,Door,1/30/2026,1/30/2026,Team Lead,$27.00
Campaign A,Door,2/6/2026,2/13/2026,Team Lead,$27.00
Campaign A,Door,2/13/2026,2/13/2026,Team Lead,$27.00
Campaign A,Door,2/20/2026,2/27/2026,Team Lead,$27.00
Campaign A,Door,2/27/2026,2/27/2026,Team Lead,$27.00
Campaign A,Door,1/16/2026,1/16/2026,Support Staff,$22.00
Campaign A,Door,1/23/2026,1/30/2026,Support Staff,$22.00
Campaign A,Door,1/30/2026,1/30/2026,Support Staff,$22.00
Campaign A,Door,2/6/2026,2/13/2026,Support Staff,$22.00
Campaign A,Door,2/13/2026,2/13/2026,Support Staff,$22.00
Campaign A,Door,2/20/2026,2/27/2026,Support Staff,$22.00
Campaign A,Door,2/27/2026,2/27/2026,Support Staff,$22.00
Campaign B,Door,1/16/2026,1/16/2026,Canvasser,$24.00
Campaign B,Door,1/23/2026,1/30/2026,Canvasser,$24.00
Campaign B,Door,1/30/2026,1/30/2026,Canvasser,$24.00
Campaign B,Door,2/6/2026,2/13/2026,Canvasser,$24.00
Campaign B,Door,2/13/2026,2/13/2026,Canvasser,$24.00
Campaign B,Door,2/20/2026,2/27/2026,Canvasser,$24.00
Campaign B,Door,2/27/2026,2/27/2026,Canvasser,$24.00
Campaign B,Door,1/16/2026,1/16/2026,Team Lead,$26.00
Campaign B,Door,1/23/2026,1/30/2026,Team Lead,$26.00
Campaign B,Door,1/30/2026,1/30/2026,Team Lead,$26.00
Campaign B,Door,2/6/2026,2/13/2026,Team Lead,$26.00
Campaign B,Door,2/13/2026,2/13/2026,Team Lead,$26.00
Campaign B,Door,2/20/2026,2/27/2026,Team Lead,$26.00
Campaign B,Door,2/27/2026,2/27/2026,Team Lead,$26.00
